epoch,train_loss,test_acc@1,test_acc@5
1,6.959024012088776,39.45,88.92
2,6.713214079538981,41.13,89.52
3,6.659533659617106,41.620000000000005,89.73
4,6.616069982449214,43.71,90.51
5,6.58280885219574,46.04,92.17
6,6.539239625136058,47.56,92.64
7,6.520090659459432,49.39,93.37
8,6.4896997312704725,50.17,93.62
9,6.472533414761226,50.14999999999999,93.76
10,6.4632679124673205,53.66,94.78
11,6.444528083006541,53.42,94.69
12,6.425662815570831,54.230000000000004,94.98
13,6.417319277922313,53.82,94.73
14,6.400287866592407,54.769999999999996,94.69
15,6.400992731253306,56.61000000000001,95.62
16,6.380313704411189,56.52,95.41
17,6.37865490714709,57.010000000000005,95.50999999999999
18,6.3697883288065595,57.67,96.03
19,6.36251633365949,58.230000000000004,96.1
20,6.355699231227239,58.269999999999996,95.97
21,6.3512701988220215,60.22,96.45
22,6.308010637760162,61.629999999999995,96.67
23,6.293001512686412,62.13999999999999,96.76
24,6.2866963148117065,62.19,96.78
25,6.282311797142029,62.870000000000005,97.04
26,6.2762643694877625,63.07000000000001,96.73
27,6.271820306777954,63.07000000000001,97.03
28,6.267234176397324,63.12,96.83
29,6.266896545886993,63.970000000000006,97.3
30,6.258184462785721,63.81,97.14
31,6.257993578910828,63.79,97.07000000000001
32,6.258408615986506,64.42999999999999,97.22
33,6.25598602493604,64.82,97.24000000000001
34,6.249314993619919,64.75,97.39
35,6.251701643069585,64.39,97.3
36,6.245158861080806,64.72,97.17
37,6.249628523985545,65.13,97.28999999999999
38,6.247806866963704,64.59,97.50999999999999
39,6.242485612630844,64.77000000000001,97.28999999999999
40,6.243050714333852,65.19,97.36
41,6.2415057718753815,65.49000000000001,97.34
42,6.239365657170613,65.35,97.42
43,6.236035903294881,65.33,97.31
44,6.23722983400027,65.72,97.36
45,6.233879208564758,66.0,97.53
46,6.231409043073654,65.78,97.47
47,6.23100675145785,65.64999999999999,97.31
48,6.235226333141327,65.10000000000001,97.43
49,6.228186498085658,65.71000000000001,97.38
50,6.2257437109947205,66.25999999999999,97.39999999999999
51,6.2244740923245745,66.4,97.56
52,6.226654241482417,66.23,97.47
53,6.222418785095215,66.02,97.50999999999999
54,6.218477308750153,66.07,97.34
55,6.220889349778493,66.89,97.65
56,6.222329427798589,67.28,97.65
57,6.21842497587204,66.83,97.7
58,6.220275441805522,66.46,97.69
59,6.215604066848755,67.24,97.6
60,6.217055171728134,66.81,97.47
61,6.214856336514155,67.15,97.6
62,6.215944180885951,66.86999999999999,97.49
63,6.216039538383484,67.27,97.65
64,6.21099250515302,67.51,97.72999999999999
65,6.21055285135905,67.23,97.6
66,6.207764317591985,67.29,97.7
67,6.2131010591983795,67.73,97.78999999999999
68,6.20682551463445,67.80000000000001,97.78999999999999
69,6.21135026216507,68.04,97.78999999999999
70,6.205859184265137,67.66,97.8
71,6.209649999936421,67.5,97.72
72,6.209638675053914,67.7,97.82
73,6.206340620915095,67.47,97.57000000000001
74,6.2077233493328094,68.07,97.87
75,6.2071819404761,68.04,97.78
76,6.207620312770207,67.46,97.83
77,6.206492712100347,68.03,97.81
78,6.203480154275894,68.05,97.78
79,6.203478177388509,68.5,97.83
80,6.201125651597977,68.41000000000001,97.89
81,6.204898963371913,68.7,97.82
82,6.2026493946711225,68.01,97.64
83,6.202399114767711,68.85,98.04
84,6.202937632799149,68.19,97.91
85,6.202030658721924,68.30000000000001,97.99
86,6.201423178116481,68.41000000000001,97.89
87,6.202735682328542,68.65,97.85000000000001
88,6.2003339032332105,68.93,98.06
89,6.206450323263804,68.27,98.07000000000001
90,6.199820498625438,69.62,98.02
91,6.198798984289169,69.08,97.98
92,6.196062465508779,69.15,98.03
93,6.197428464889526,68.47,97.88
94,6.2015433212121325,68.89,97.89
95,6.195432702700297,69.1,98.0
96,6.194208433230718,69.45,98.15
97,6.198404570420583,69.08,97.95
98,6.190288911263148,68.67999999999999,97.91
99,6.197547227144241,69.55,97.98
100,6.198640028635661,69.04,98.04
